Models:
0.7

model_id                                         mean_residual_deviance     rmse     mse      mae       rmsle
---------------------------------------------  ------------------------  -------  ------  -------  ----------
XGBoost_grid_1_AutoML_20191209_152429_model_4                    284622  533.5    284622  288.472    0.111486
GBM_grid_1_AutoML_20191209_152429_model_1                        289219  537.791  289219  284.928    0.101796
GBM_2_AutoML_20191209_152429                                     296473  544.493  296473  301.592    0.130575
GBM_3_AutoML_20191209_152429                                     297276  545.23   297276  307.709    0.148081
GBM_1_AutoML_20191209_152429                                     297550  545.482  297550  301.357    0.130469
XGBoost_3_AutoML_20191209_152429                                 305051  552.315  305051  305.186  nan
XGBoost_grid_1_AutoML_20191209_152429_model_3                    307459  554.489  307459  301.328    0.12284
XGBoost_grid_1_AutoML_20191209_152429_model_1                    311975  558.547  311975  315.145    0.156806
XGBoost_1_AutoML_20191209_152429                                 317417  563.398  317417  330.345    0.167659
GBM_4_AutoML_20191209_152429                                     324133  569.327  324133  326.265    0.154715


Models:

0.9
model_id                                         mean_residual_deviance     rmse     mse      mae        rmsle
---------------------------------------------  ------------------------  -------  ------  -------  -----------
GBM_3_AutoML_20191209_164425                                     303125  550.567  303125  305.187    0.134149
XGBoost_grid_1_AutoML_20191209_164425_model_4                    305174  552.425  305174  290.494    0.108272
GBM_2_AutoML_20191209_164425                                     307408  554.444  307408  297.52     0.120421
GBM_grid_1_AutoML_20191209_164425_model_1                        308316  555.262  308316  285.237    0.0994754
GBM_1_AutoML_20191209_164425                                     308943  555.826  308943  298.239    0.134197
XGBoost_1_AutoML_20191209_164425                                 314913  561.171  314913  315.467    0.144163
GBM_5_AutoML_20191209_164425                                     316974  563.005  316974  301.155  nan
XGBoost_grid_1_AutoML_20191209_164425_model_3                    317969  563.887  317969  299.002    0.121026
GBM_4_AutoML_20191209_164425                                     318482  564.342  318482  312.733    0.140246
XGBoost_3_AutoML_20191209_164425                                 319849  565.552  319849  303.695  nan


